Tournament,Event_Date,Team_Name,Weight_Class,Player_Name,Opponent_Name,Match_ID,Period,Clock,Position,Player_Move,Type,Opponent Move,Side,Player_Success,Opponent_Success,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total,Win_Loss
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,1,4:14,Neutral,Headlock Defense,Reattack,Headlock,Left,0,1,2,0,Takedown,5,2,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,1,4:04,Partare,Half Nelson Defense,Initial,Half Nelson,Left,0,0,0,0,None,5,2,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,1,3:43,Neutral,Single Leg,Initial,Single Leg Defense,Right,1,0,1,0,Step Out,6,2,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,2:48,Neutral,Single Leg Defense,Initial,Single Leg,Right,0,1,0,2,Takedown,6,4,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,1:12,Neutral,Double Leg Defense,Initial,Double Leg,Center,1,0,0,0,None,6,4,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,1:11,Neutral,Pancake,Reattack,Pancake Defense,Center,0,1,0,0,None,6,4,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,1:08,Neutral,Bodylock Defense,Reattack,Bodylock,Left,0,1,0,4,Feet to back,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:41,Neutral,High Crotch,Initial,High Crotch Defense,Right,0,1,0,0,None,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:40,Neutral,Single Leg,Reattack,Single Leg Defense,Right,0,1,0,0,None,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:38,Neutral,Shuck By,Reattack,Shuck By Defense,Right,0,1,0,0,None,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:26,Neutral,Arm Spin,Initial,Arm Spin Defense,Right,0,1,0,0,None,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:12,Neutral,Single Leg,Initial,Single Leg Defense,Right,0,1,0,0,None,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:07,Neutral,Single Leg,Initial,Single Leg Defense,Right,0,1,0,0,None,6,8,0
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,4,2,0:01,Neutral,Single Leg,Initial,Single Leg Defense,Right,0,1,0,0,None,6,8,0
