Tournament,Date,Team_Name,Weight_Class,Player_Name,Opponent_Name,Match_Day_Order,Match_ID,Period,Clock,Position,Player_Move,Type,Side,Player_Success,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total,Win_Loss,URL
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,5:45,Neutral,Front Head Snap,Initial,Center,0,0,0,None,0,0,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,5:25,Neutral,High Crotch,Initial,Right,1,4,0,Feet to back,4,0,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,5:12,Challenge,Challenge Defense,Challenge,None,1,1,0,Challenge,5,0,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,4:14,Neutral,Single Leg,Initial,Right,0,0,0,None,5,0,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,4:14,Neutral,Headlock Defense,Reattack,Left,0,2,0,Takedown,5,2,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,4:04,Partare,Half Nelson Defense,Initial,Left,0,0,0,None,5,2,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,1,3:43,Neutral,Single Leg,Initial,Right,1,1,0,Step Out,6,2,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,2:48,Neutral,Single Leg Defense,Initial,Right,0,0,2,Takedown,6,4,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,1:12,Neutral,Double Leg Defense,Initial,Center,1,0,0,None,6,4,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,1:11,Neutral,Pancake,Reattack,Center,0,0,0,None,6,4,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,1:08,Neutral,Bodylock Defense,Reattack,Left,0,0,4,Feet to back,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:41,Neutral,High Crotch,Initial,Right,0,0,0,None,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:40,Neutral,Single Leg,Reattack,Right,0,0,0,None,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:38,Neutral,Shuck By,Reattack,Right,0,0,0,None,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:26,Neutral,Arm Spin,Initial,Right,0,0,0,None,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:12,Neutral,Single Leg,Initial,Right,0,0,0,None,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:07,Neutral,Single Leg,Initial,Right,0,0,0,None,6,8,0,Unknown
Panams,5/5/23,Venezuela,53,Dominique Parrish,Betzabeth Aguello,1,4,2,0:01,Neutral,Single Leg,Initial,Right,0,0,0,None,6,8,0,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,5:57,Neutral,Single Leg,Initial,Left,0,0,0,None,0,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,5:47,Neutral,Knee Block Defense,Initial,Right,1,0,0,None,0,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,5:26,Neutral,Arm Drag,Initial,Right,0,0,0,None,0,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,4:30,Neutral,Double Leg,Initial,Center,1,1,0,Step Out,1,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,4:05,Neutral,Shot Clock Defense,Shot Clock,None,1,1,0,Passivity,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,3:57,Neutral,Snap,Setup,Right,1,0,0,None,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,3:53,Neutral,Single Leg,Setup,Right,0,0,0,None,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,3:12,Neutral,High Crotch Defense,Initial,Right,1,0,0,None,2,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,1,3:10,Neutral,Single Leg,Reattack,Left,1,1,0,Step Out,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,2:47,Neutral,High Crotch Defense,Initial,Right,1,0,0,None,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,2:43,Neutral,Double Leg,Initial,Center,0,0,0,None,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,2:21,Neutral,High Crotch Defense,Initial,Right,1,0,0,None,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,1:51,Neutral,Single Leg,Initial,Left,0,0,0,None,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,1:37,Neutral,Arm Drag,Setup,Right,1,0,0,None,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,1:34,Neutral,High Crotch Defense,Initial,Right,1,0,0,None,3,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,1:27,Neutral,Go-Behind,Reattack,Right,1,2,0,Takedown,5,0,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,1:19,Partare,Chicken Wing,Initial,Left,0,0,1,Reversal,5,1,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,1:11,Partare,Trapped Arm Gut Defense,Initial,Left,1,0,0,None,5,1,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,0:28,Neutral,Single Leg Defense,Initial,Left,1,0,0,None,5,1,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,0:19,Neutral,High Crotch Defense,Initial,Right,1,0,0,None,5,1,1,Unknown
Budapest Ranking Tournament,7/14/23,Germany,53,Dominique Parrish,Annika Wendle,3,5,2,0:11,Neutral,Single Leg,Reattack,Left,0,0,0,None,5,1,1,Unknown
