Match_ID,Period,Clock_Start,Player_Move,Side,Player_Points,Opponent_Points,Point Type,Player_Total,Opponent_Total
9,1,5:45,Front Headlock,Center,0,0,None,0,0
9,1,5:14,Single Leg Defense,Right,0,0,None,0,0
9,1,4:52,High Crotch,Right,0,0,None,0,0
9,1,4:25,High Crotch,Right,0,0,Exposure,0,0
9,1,4:20,Front Head Pinch Defense,Left,0,2,Exposure,0,2
9,1,3:39,Leg Ride Defense ,Right,0,0,None,0,2
9,1,3:35,Single Leg Defense,Right,0,0,None,0,2
9,1,3:34,Front Headlock,Center,0,0,None,0,2
9,2,2:34,Single Leg,Left,0,0,None,0,2
9,2,2:26,Cradle Defense,Right,0,2,Takedown,0,4
9,2,2:20,Cradle Defense,Right,0,2,Exposure,0,6
9,2,0:53,High Crotch,Right,0,0,None,0,6
9,2,0:32,Go-Behind Defense,Right,0,2,Takedown,0,8
9,2,0:22,Chicken Wing Defense,Right,0,2,Exposure,0,10
12,1,5:26,Single Leg,Left,2,0,Takedown,2,0
12,1,4:32,High Crotch,Right,0,0,None,2,0
12,1,4:00,Single Leg Defense,Right,0,0,None,2,0
12,2,2:45,Single Leg,Left,0,0,None,2,0
12,2,1:42,Single Leg Defense,Right,0,0,None,2,0
12,2,1:18,Force Passivity,None,1,0,Passivity,3,0
12,2,1:07,High Crotch,Right,2,0,Takedown,5,0
12,2,0:15,Headlock Defense,Right,0,0,None,5,0
13,1,5:53,Double Leg Defense,Center,0,0,None,0,0
13,1,5:42,Single Leg,Left,2,0,Takedown,2,0
13,1,5:27,Leg Lace,Right,2,0,Exposure,4,0
13,1,5:26,Leg Lace,Right,2,0,Exposure,6,0
13,1,5:25,Leg Lace,Right,2,0,Exposure,8,0
13,1,4:50,Double Leg Defense,Center,0,2,Takedown,8,2
13,1,4:46,Leg Turk Defense,Right,0,2,Exposure,8,4
13,1,4:41,Pin Defense,None,0,10,Pin,8,14
14,1,5:23,Single Leg Defense,Left,0,0,None,0,0
14,1,4:40,High Crotch Defense,Right,0,0,None,0,0
14,1,4:15,Single Leg Defense,Right,2,0,Takedown,2,0
14,1,3:10,High Crotch Defense,Left,0,2,Takedown,2,2
14,2,2:55,Double Leg Defense,Center,0,0,None,2,2
14,2,2:18,Double Leg,Center,4,0,Feet to back,6,2
14,2,1:40,Barb Wire,None,10,0,Pine,16,2
